ImageNum,Distances,PeroArea,PeroMeanIntensity,PeroTotalIntensity
3,6.47230743093129,59,106.966101694915,6311
3,0,59,126,7434
3,0,57,97.3333333333333,5548
3,2.22288714696612,56,91.3571428571429,5116
3,1.47731949140637,107,140.588785046729,15043
3,0,157,146.656050955414,23025
3,4.26167113961422,47,111.63829787234,5247
3,6.5,44,89.6363636363636,3944
3,4.96887112585073,109,130.073394495413,14178
3,16.9433461883127,21,84.8095238095238,1781
3,2.08452405257735,51,108.43137254902,5530
3,6.40175425099138,102,132.323529411765,13497
3,21.0771462444422,25,86.48,2162
3,16.9706909720136,72,106.138888888889,7642
3,15.4274975087394,77,125.558441558442,9668
3,15.4003251334888,66,131.30303030303,8666
3,2.5,89,151.52808988764,13486
3,11.76831130648,30,87.3,2619
3,3.53553390593274,38,84.4473684210526,3209
3,0,38,96.5263157894737,3668
3,3,73,121.794520547945,8891
3,0,74,111.445945945946,8247
3,10.7336941860841,41,105.365853658537,4320
3,0,26,81.5384615384615,2120
3,19.1516506227876,26,83.5384615384615,2172
3,8.49962612952222,27,86.2592592592593,2329
3,16.2634559672906,73,104.986301369863,7664
3,10.4504902432036,37,96.1891891891892,3559
3,0,83,111.036144578313,9216
3,0,108,119.768518518519,12935
3,12.4837866215765,28,117.785714285714,3298
3,0.472307430931291,62,135.5,8401
3,15.890189212664,134,143.208955223881,19190
3,11.4977624724402,51,76.5686274509804,3905
3,10.6490816605591,70,107.9,7553
3,80.6490479230096,37,88.8378378378378,3287
3,4.20469840044266,45,105.444444444444,4745
3,56.143816293511,36,110.222222222222,3968
4,40.9295580945074,27,50.4444444444444,1362
4,0,27,61.2222222222222,1653
4,24.4644660940673,46,63.8695652173913,2938
4,0,114,88.4210526315789,10080
4,0,92,114.695652173913,10552
4,41.2170039663443,28,51.1785714285714,1433
4,0,20,60,1200
4,0,115,103.486956521739,11901
4,2.22540061938131,48,84.1041666666667,4037
4,0,85,97.2352941176471,8265
4,0,46,95.0434782608696,4372
4,0,44,93,4092
4,7.82623792124926,139,102.143884892086,14198
4,0,265,111.743396226415,29612
4,0,123,103.49593495935,12730
4,0,105,89.3047619047619,9377
4,14.1651514893569,31,60.0967741935484,1863
4,0,65,64.3384615384615,4182
4,0.341781343125056,88,108.829545454545,9577
4,5.81772892764683,56,68.3035714285714,3825
4,29.1203873006155,50,72.08,3604
4,0,108,119.305555555556,12885
4,7,38,128.131578947368,4869
4,14.2596252439927,97,82.020618556701,7956
4,0,37,50.027027027027,1851
4,13.5,89,99.3932584269663,8846
4,0,24,55.5,1332
4,3.45049024320361,31,69.3870967741936,2151
4,46.6903366775368,85,86.5882352941177,7360
4,56.6541829742525,98,77.9591836734694,7640
4,12.9746649394636,50,61,3050
4,15.4257137309334,57,93.1228070175439,5308
4,4.22728134397086,74,63.6621621621622,4711
4,2.22288714696612,53,122.056603773585,6469
4,3.71851868216661,85,104.141176470588,8852
4,6.72652167242497,73,124.452054794521,9085
4,9.19238815542512,119,80.1932773109244,9543
4,12.2830094339717,49,66.2857142857143,3248
4,0,72,103.819444444444,7475
4,0.641748316881935,63,80.3650793650794,5063
4,10.3062484748657,22,51.3636363636364,1130
4,0.571326944524076,66,99.6969696969697,6580
4,1.26205918151684,49,65.3061224489796,3200
4,6.32455532033676,24,49.5833333333333,1190
4,3.4876482900102,66,66.0606060606061,4360
4,0,146,82.458904109589,12039
4,0,28,57.4642857142857,1609
4,0,145,77.2206896551724,11197
4,16.60343120695,85,77.3176470588235,6572
4,0,233,96.6995708154506,22531
4,7.66342695911188,59,65.5084745762712,3865
4,0,116,109.698275862069,12725
4,0,146,101.856164383562,14871
4,0,282,105.085106382979,29634
4,8.27515942066262,71,83.2535211267606,5911
4,6.5,80,91.7125,7337
4,0.464466094067262,56,73.1607142857143,4097
4,13.4491653258348,109,102.036697247706,11122
4,27.8526914654076,96,111.53125,10707
4,5.21855707647169,22,55.7272727272727,1226
5,24.35711745603,57,52.2456140350877,2978
5,3.95636562454463,104,100.336538461538,10435
5,0.464466094067262,76,96.7763157894737,7355
5,0,41,65.609756097561,2690
5,0,66,91.8939393939394,6065
5,0,130,128.292307692308,16678
5,4.1205249437001,70,107.685714285714,7538
5,18.7143172416174,121,69.5123966942149,8411
5,0,46,84.7608695652174,3899
5,0,65,94.3384615384615,6132
5,0,57,80.8947368421053,4611
5,4.99677399157864,79,101.379746835443,8009
5,12.4827934311109,31,63.7096774193548,1975
5,0,153,97.3856209150327,14900
5,0,127,110.472440944882,14030
5,0,105,81.9333333333333,8603
5,26.5125880193118,68,65.0735294117647,4425
